feature,value,shap_value
PAY_AMT2,120927,-0.9459528
PAY_AMT1,83754,-0.7369171
PAY_0,-1,-0.4241084
LIMIT_BAL,300000,-0.35748494
PAY_AMT3,0,-0.2489425
BILL_AMT1,42189,-0.16524999
BILL_AMT5,82475,-0.16335526
AGE,27,-0.16276844
PAY_AMT6,92250,-0.15541287
PAY_AMT5,25213,-0.09004258
BILL_AMT3,120927,0.089020625
BILL_AMT4,105303,-0.083967246
MARRIAGE,2,-0.06815427
PAY_AMT4,716,-0.06729034
PAY_3,-1,-0.061262008
SEX,2,-0.060768675
BILL_AMT2,83754,-0.03996625
BILL_AMT6,33262,0.032118246
PAY_2,-1,-0.026851987
PAY_6,0,-0.020968761
PAY_4,0,-0.014571604
EDUCATION,1,-0.0042036986
PAY_5,0,0.002137018
